epoch,accuracy,loss,val_accuracy,val_loss
0,0.6162790656089783,1.326534390449524,0.6363636255264282,0.9851852059364319
1,0.6511628031730652,1.1830158233642578,0.6818181872367859,0.856257975101471
2,0.6860465407371521,1.0567570924758911,0.7727272510528564,0.7382946610450745
3,0.7093023061752319,0.9432485103607178,0.7727272510528564,0.6404241919517517
4,0.7441860437393188,0.8441499471664429,0.7727272510528564,0.5520135760307312
5,0.7441860437393188,0.7566112875938416,0.7727272510528564,0.4745006859302521
6,0.7441860437393188,0.6772980093955994,0.7727272510528564,0.4121009111404419
7,0.7790697813034058,0.606953501701355,0.8636363744735718,0.3510425388813019
8,0.7906976938247681,0.5447605848312378,0.8636363744735718,0.30364280939102173
9,0.8023256063461304,0.49181175231933594,0.9090909361839294,0.2602130174636841
