epoch,accuracy,loss,val_accuracy,val_loss
0,0.9883720874786377,0.21419154107570648,0.9545454382896423,0.2952173054218292
1,0.9883720874786377,0.1867412030696869,0.9545454382896423,0.2637803852558136
2,1.0,0.16456352174282074,1.0,0.23399361968040466
3,1.0,0.14627905189990997,1.0,0.20857901871204376
4,1.0,0.13107521831989288,1.0,0.1871996372938156
5,1.0,0.1184898316860199,1.0,0.1682397872209549
6,1.0,0.10702770948410034,1.0,0.15207071602344513
7,1.0,0.09625761210918427,1.0,0.13784481585025787
8,1.0,0.08700943738222122,1.0,0.125061497092247
9,1.0,0.0790715292096138,1.0,0.11473909020423889
10,1.0,0.07230254262685776,1.0,0.10477954894304276
11,1.0,0.06645172834396362,1.0,0.09559688717126846
12,1.0,0.0614548958837986,1.0,0.08656566590070724
13,1.0,0.05701784789562225,1.0,0.07813310623168945
14,1.0,0.05320753529667854,1.0,0.06979654729366302
15,1.0,0.04981479048728943,1.0,0.06284541636705399
16,1.0,0.04683317244052887,1.0,0.05651012808084488
17,1.0,0.04411914572119713,1.0,0.05145150050520897
18,1.0,0.041604913771152496,1.0,0.04604655131697655
19,1.0,0.03914739564061165,1.0,0.041722819209098816
20,1.0,0.036804016679525375,1.0,0.03769391402602196
21,1.0,0.03457270935177803,1.0,0.033986542373895645
22,1.0,0.03257378563284874,1.0,0.030965520069003105
23,1.0,0.03076896071434021,1.0,0.028250038623809814
24,1.0,0.029118724167346954,1.0,0.025930844247341156
25,1.0,0.02755475789308548,1.0,0.02347712032496929
26,1.0,0.02596399188041687,1.0,0.02148408629000187
27,1.0,0.02445347048342228,1.0,0.01978391967713833
28,1.0,0.023094484582543373,1.0,0.018120137974619865
29,1.0,0.021868014708161354,1.0,0.016664817929267883
30,1.0,0.020741481333971024,1.0,0.015332665294408798
31,1.0,0.019672183319926262,1.0,0.014187011867761612
32,1.0,0.01871638558804989,1.0,0.013221205212175846
33,1.0,0.01783629320561886,1.0,0.012242269702255726
34,1.0,0.01698574237525463,1.0,0.01143477763980627
35,1.0,0.016230253502726555,1.0,0.010630684904754162
36,1.0,0.015519510954618454,1.0,0.009934716857969761
37,1.0,0.014848359860479832,1.0,0.0092965979129076
38,1.0,0.014217871241271496,1.0,0.008728769607841969
39,1.0,0.013630632311105728,1.0,0.008175883442163467
40,1.0,0.013081377372145653,1.0,0.007669335231184959
41,1.0,0.012540002353489399,1.0,0.007245115470141172
42,1.0,0.012050606310367584,1.0,0.00679210526868701
43,1.0,0.011569330468773842,1.0,0.006380059290677309
44,1.0,0.011120012030005455,1.0,0.006024381145834923
45,1.0,0.0106976218521595,1.0,0.005696258042007685
46,1.0,0.010303761810064316,1.0,0.005349773447960615
47,1.0,0.00990381184965372,1.0,0.005057963076978922
48,1.0,0.00954212062060833,1.0,0.004776472225785255
49,1.0,0.009202905930578709,1.0,0.004504806827753782
